Year,Country,Type
2005,El Salvador,Flood
2005,Guatemala,Hurricane Stan
2005,Nicaragua,Tropical Storm Beta
2007,Belize,Hurricane Dean
2007,Honduras,Hurricane Felix
2007,Nicaragua,Hurricane Felix
2007,Mexico,Flood
2008,Honduras,Flood
2008,Panama,Flood
2008,Guatemala,Flood
2009,Costa Rica,Earthquake
2009,Guatemala,Drought
2009,El Salvador,Flood
2009,Nicaragua,Hurricane Ida
2009,Honduras,Drought
2009,Guatemala,Drought
2010,Guatemala,Drought
2010,Honduras,Drought
2010,El Salvador,Tropical Storm Agatha
2010,Guatemala,Tropical Storm Agatha
2010,Guatemala,Volcano
2011,El Salvador,Flood
2011,Guatemala,Flood
2011,Nicaragua,Flood
2012,Guatemala,Earthquake
2013,Mexico,Flood
2014,Honduras,Drought
2015,Guatemala,Oil Spill
2015,Guatemala,Drought
2016,Honduras,Zika virus
2016,Belize,Hurricane Earl
2016,Costa Rica,Hurricane Otto
2017,Panama,Migration/Political Conflict
2017,Guatemala,Earthquake
2017,Mexico,Earthquake
2017,Honduras,Migration/Political Conflict
2018,Panama,Migration/Political Conflict
2018,Nicaragua,Migration/Political Conflict
2019,Costa Rica,Migration/Political Conflict
2019,Honduras,Drought